name	init_mem	expected_mem	a_base	b_base	c_base	m	n	k	exp_status
random_055	random_055_init.mem	random_055_expected.mem	00000484	000003a0	00000c31	5	4	2	0000000e
random_056	random_056_init.mem	random_056_expected.mem	00000c0c	0000063c	000009fc	5	2	1	0000000e
random_057	random_057_init.mem	random_057_expected.mem	000000c1	00000435	00000ae8	5	3	4	0000000e
random_058	random_058_init.mem	random_058_expected.mem	00000413	00000706	00000d1f	0	4	2	0000000e
random_059	random_059_init.mem	random_059_expected.mem	000000ac	0000094a	00000e64	1	4	5	0000000e
random_060	random_060_init.mem	random_060_expected.mem	000004c4	00000d32	00000de3	1	5	4	0000000e
random_061	random_061_init.mem	random_061_expected.mem	00000e5e	00000d56	00000d23	4	4	5	0000000e
random_062	random_062_init.mem	random_062_expected.mem	00000801	00000e79	0000093f	3	4	0	0000000e
random_063	random_063_init.mem	random_063_expected.mem	00000c0c	00000cf2	00000764	4	2	0	0000000e
random_064	random_064_init.mem	random_064_expected.mem	000004d3	00000512	000000df	2	5	1	0000000e
random_065	random_065_init.mem	random_065_expected.mem	000003af	00000373	00000c19	4	0	4	0000000e
random_066	random_066_init.mem	random_066_expected.mem	00000fc5	00000778	000000fb	1	0	3	0000000e
random_067	random_067_init.mem	random_067_expected.mem	00000409	000009eb	00000489	0	2	3	0000000e
random_068	random_068_init.mem	random_068_expected.mem	000007e6	00000272	00000aa8	4	2	5	0000000e
random_069	random_069_init.mem	random_069_expected.mem	00000f03	00000d04	0000047d	5	4	1	0000000e
